iter	Passed	Remaining
0	140	140681
1	148	73886
2	152	50557
3	158	39556
4	165	32965
5	168	27953
6	175	24826
7	180	22330
8	182	20105
9	187	18577
10	191	17176
11	197	16254
12	202	15369
13	203	14330
14	206	13556
15	212	13043
16	217	12553
17	224	12264
18	230	11907
19	233	11421
20	237	11048
21	245	10899
22	248	10561
23	254	10337
24	261	10193
25	267	10014
26	275	9916
27	280	9736
28	281	9425
29	283	9150
30	288	9030
31	295	8936
32	299	8780
33	302	8605
34	309	8544
35	314	8415
36	316	8245
37	318	8059
38	322	7956
39	325	7810
40	326	7648
41	331	7554
42	334	7454
43	339	7384
44	345	7338
45	346	7195
46	350	7115
47	354	7029
48	359	6972
49	363	6912
50	367	6837
51	375	6842
52	377	6749
53	381	6681
54	384	6604
55	388	6551
56	391	6484
57	399	6489
58	402	6426
59	411	6441
60	414	6387
61	416	6300
62	418	6226
63	422	6178
64	428	6157
65	435	6157
66	439	6125
67	447	6127
68	449	6071
69	452	6018
70	463	6059
71	464	5989
72	466	5923
73	468	5856
74	469	5792
75	471	5729
76	473	5669
77	474	5613
78	476	5553
79	478	5497
80	479	5440
81	481	5386
82	482	5332
83	484	5280
84	485	5230
85	487	5181
86	489	5132
87	490	5085
88	492	5039
89	493	4993
90	495	4949
91	497	4905
92	498	4862
93	500	4821
94	501	4775
95	502	4736
96	504	4700
97	506	4661
98	508	4624
99	509	4584
100	510	4547
101	512	4511
102	513	4475
103	515	4441
104	517	4407
105	518	4376
106	520	4344
107	522	4313
108	524	4284
109	525	4253
110	527	4223
111	528	4193
112	530	4164
113	531	4131
114	532	4098
115	534	4072
116	536	4045
117	537	4019
118	539	3993
119	541	3968
120	542	3942
121	544	3917
122	545	3891
123	547	3868
124	549	3844
125	550	3820
126	551	3794
127	553	3771
128	555	3749
129	556	3726
130	558	3703
131	559	3682
132	561	3660
133	563	3639
134	564	3619
135	568	3611
136	570	3593
137	572	3573
138	573	3553
139	575	3533
140	576	3514
141	578	3494
142	580	3476
143	581	3457
144	583	3438
145	584	3416
146	585	3399
147	587	3382
148	589	3366
149	591	3349
150	592	3332
151	594	3315
152	595	3299
153	597	3282
154	599	3266
155	600	3250
156	602	3235
157	604	3219
158	605	3204
159	606	3185
160	608	3170
161	610	3155
162	611	3140
163	613	3126
164	615	3113
165	616	3098
166	618	3084
167	620	3070
168	621	3056
169	623	3042
170	624	3028
171	626	3015
172	628	3002
173	629	2989
174	631	2976
175	632	2960
176	633	2947
177	635	2934
178	637	2921
179	638	2909
180	640	2896
181	641	2884
182	643	2872
183	645	2861
184	646	2849
185	648	2838
186	650	2828
187	652	2816
188	653	2804
189	655	2793
190	656	2782
191	658	2770
192	660	2759
193	661	2749
194	663	2738
195	665	2728
196	666	2717
197	668	2707
198	669	2696
199	671	2686
200	673	2676
201	674	2665
202	676	2655
203	678	2646
204	679	2634
205	681	2624
206	682	2615
207	684	2605
208	685	2595
209	687	2586
210	688	2574
211	690	2564
212	691	2554
213	694	2549
214	695	2540
215	697	2531
216	699	2522
217	700	2512
218	702	2503
219	703	2494
220	705	2486
221	706	2477
222	708	2468
223	710	2460
224	711	2451
225	713	2444
226	715	24231227	716	24232	728	2396
233	731	2393
234	735	2393
235	738	2389
236	741	2387
237	742	2378
238	7239	760	239	7240	763	240	7241	769	2409
242	772	2406
243	775	2404
244	779	2400
245	782	2398
246	786	2396
247	789	2394
248	793	2393
249	795	2386
250	805	2403
251	808	2400
252	811	2395
253	814	2391
254	819	2394
255	826	2400
256	830	2401
257	832	2395
258	837	2396
259	839	2389
260	840	2379
261	847	2386
262	851	2386
263	853	2378
264	856	2374
265	858	2367
266	863	2370
267	867	2370
268	869	2362
269	871	2355
270	875	2356
271	881	2359
272	883	2351
273	887	2351
274	889	2345
275	891	2339
276	897	2343
277	903	2347
278	908	2346
279	917	2359
280	919	2351
281	921	2345
282	924	2343
283	930	2347
284	936	2349
285	937	2341
286	940	2336
287	945	2337
288	947	2330
289	948	2322
290	950	2316
291	955	2317
292	957	2309
293	962	2311
294	966	2309
295	968	2302
296	992	2350
297	998	2351
298	1003	2352
299	1009	2356
300	1011	2349
301	1012	2339
302	1016	2339
303	1020	2336
304	1028	2344
305	1034	2347
306	1038	2344
307	1044	2346
308	1053	2355
309	1061	2363
310	1071	2372
311	1076	2374
312	1078	2367
313	1081	2363
314	1087	2364
315	1091	2362
316	1095	2360
317	1098	2356
318	1105	2359
319	1110	2359
320	1114	2357
321	1127	2373
322	1131	2372
323	1142	2383
324	1147	2384
325	1154	2387
326	1155	2378
327	1157	2371
328	1159	2363
329	1160	2356
330	1162	2349
331	1163	2341
332	1164	2333
333	1166	2326
334	1168	2319
335	1170	2312
336	1172	2306
337	1173	2299
338	1175	2292
339	1177	2285
340	1178	2278
341	1180	2271
342	1182	2264
343	1184	2258
344	1185	2249
345	1186	2243
346	1188	2236
347	1190	2229
348	1191	2223
349	1193	2216
350	1195	2209
351	1196	2203
352	1198	21354	1173	2131
355	1177	2129
356	1180	2126
357	1184	2124
358	1193	2131
359	1196	2127
360	1205	2134
361	1209	2130
362	1215	2132
363	1221	2134
364	1226	2133
365	1228	2128
366	1241	2141
367	1247	2142
368	1257	2150
369	1259	2144
370	1263	2142
371	1269	2143
372	1275	2144
373	1279	2141
374	1287	2145
375	1291	2143
376	1292	2135
377	1295	2131
378	1301	2133
379	1309	2137
380	1311	2130
381	1320	2136
382	1323	2131
383	1325	2126
384	1329	2122
385	1338	2128
386	1342	2125
387	1345	2122
388	1356	2130
389	1360	2127
390	1364	2125
391	1372	2129
392	1376	2125
393	1378	2120
394	1383	2119
395	1387	2116
396	1391	2113
397	1398	2115
398	1401	2110
399	1404	2106
400	1405	2098
401	1410	2097
402	1411	2090
403	1413	2084
404	1414	2077
405	1419	2076
406	1423	2073
407	1426	2069
408	1433	2071
409	1436	2067
410	1439	2063
411	1441	2057
412	1444	2053
413	1449	2052
414	1452	2047
415	1457	2045
416	1461	2042
417	1466	2042
418	1471	2040
419	1474	2035
420	1479	2035
421	1481	2029
422	1485	2026
423	1487	2021
424	1489	2015
425	1492	2010
426	1499	2011
427	1501	2006
428	1503	2000
429	1513	2006
430	1517	2003
431	1519	1997
432	1522	1993
433	1533	2000
434	1537	1996
435	1538	1990
436	1543	1988
437	1549	1988
438	1550	1981
439	1554	1978
440	1560	1978
441	1566	1977
442	1569	1973
443	1577	1975
